Path: Assets/Logs/Right Controller_log_11_6_25_2.txt
Log Speed: 30
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),24,
(-0.09, 0.78, -5.07), (0.06520, -0.92416, 0.37638, -0.00468),25,
(-0.09, 0.78, -5.07), (0.06435, -0.92419, 0.37646, -0.00439),26,
(-0.09, 0.78, -5.07), (0.06523, -0.92411, 0.37648, -0.00458),27,
(-0.09, 0.78, -5.07), (0.06586, -0.92397, 0.37672, -0.00484),28,
(-0.09, 0.78, -5.07), (0.06538, -0.92398, 0.37679, -0.00467),29,
(-0.09, 0.78, -5.07), (0.06455, -0.92400, 0.37688, -0.00443),30,
(-0.09, 0.78, -5.07), (0.06528, -0.92399, 0.37679, -0.00446),31,
(-0.09, 0.78, -5.07), (0.06590, -0.92396, 0.37674, -0.00478),32,
(-0.09, 0.78, -5.07), (0.06587, -0.92394, 0.37679, -0.00480),33,
(-0.09, 0.78, -5.07), (0.06525, -0.92398, 0.37680, -0.00439),34,
(-0.09, 0.78, -5.07), (0.06476, -0.92397, 0.37692, -0.00425),35,
(-0.09, 0.78, -5.07), (0.06520, -0.92406, 0.37663, -0.00463),36,
(-0.09, 0.78, -5.07), (0.06578, -0.92402, 0.37661, -0.00489),37,
(-0.09, 0.78, -5.07), (0.06564, -0.92399, 0.37670, -0.00498),38,
(-0.09, 0.78, -5.07), (0.06514, -0.92404, 0.37668, -0.00443),39,
(-0.09, 0.78, -5.07), (0.06476, -0.92409, 0.37663, -0.00438),40,
(-0.09, 0.78, -5.07), (0.06533, -0.92409, 0.37652, -0.00471),41,
(-0.09, 0.78, -5.07), (0.06559, -0.92408, 0.37649, -0.00494),42,
(-0.09, 0.78, -5.07), (0.06521, -0.92410, 0.37652, -0.00459),43,
(-0.09, 0.78, -5.07), (0.06507, -0.92408, 0.37658, -0.00456),44,
(-0.09, 0.78, -5.07), (0.06508, -0.92405, 0.37665, -0.00457),45,
(-0.09, 0.78, -5.07), (0.06510, -0.92407, 0.37662, -0.00449),46,
(-0.09, 0.78, -5.07), (0.06515, -0.92408, 0.37658, -0.00454),47,
(-0.09, 0.78, -5.07), (0.06524, -0.92410, 0.37652, -0.00460),48,
(-0.09, 0.78, -5.07), (0.06577, -0.92405, 0.37655, -0.00459),49,
(-0.09, 0.78, -5.07), (0.06523, -0.92408, 0.37657, -0.00449),50,
(-0.09, 0.78, -5.07), (0.06459, -0.92406, 0.37672, -0.00420),51,
(-0.09, 0.78, -5.07), (0.06497, -0.92407, 0.37664, -0.00444),52,
